height/age,rock,thickness,bottom_grain,top_grain,connection_type,erosion,lenses,minerals,features,contact
12.22,MadeGround,,,,,,,,,
3.72,UKG_sandgravel,,,,,,,,,
0.72,UKG_claysilt,,,,,,,,,
-1.78,UKG_clay,,,,,,,,,
-5.48,UKG_claygravel,,,,,,,,,
-7.78,UKG_clay,,,,,,,,,
-13.78,UKG_sand,,,,,,,,,
-16.78,UKG_sandgravel,,,,,,,,,
-17.78,UKG_claysilt,,,,,,,,,
-25.18,UKG_interbed,,,,,,,,,
-26.78,UKG_mudstone,,,,,,,,,
-28.78,607*,,,,,,,,,
-36.58,658,,,,,,,,,
-36.88,607*,,,,,,,,,
-37.24,658,,,,,,,,,
-38.78,UKG_mudstone,,,,,,,,,
-39.78,607*,,,,,,,,,
-40.78,UKG_interbed,,,,,,,,,
-41.78,607*,,,,,,,,,
-42.78,658,,,,,,,,,
-43.08,607*,,,,,,,,,
-43.78,UKG_interbed,,,,,,,,,
-44.78,UKG_mudstone,,,,,,,,,
-45.18,658,,,,,,,,,
-45.78,UKG_mudstone,2,,,,,,,,
